leftShoulder_x;leftShoulder_y;rightShoulder_x;rightShoulder_y;leftElbow_x;leftElbow_y;rightElbow_x;rightElbow_y;leftWrist_x;leftWrist_y;rightWrist_x;rightWrist_y;leftHip_x;leftHip_y;rightHip_x;rightHip_y;label
3.604.441.657.525.850;17.388.515.077.232.000;31.716.043.240.274.400;1.760.825.668.883.370;4.000.179.981.394.400;16.751.967.835.375.900;28.705.922.926.771.600;18.419.745.479.527.200;44.301.347.825.952.800;15.464.578.504.542.200;243.553.922.873.161;18.519.607.156.830.100;35.568.740.739.264.900;25.307.632.172.082.400;32.784.125.546.520.100;251.895.962.608.289;1
3.576.226.513.758.650;17.410.758.617.312.400;31.667.612.904.432.600;18.160.716.252.397.500;40.018.639.346.057.900;16.563.549.501.447.200;30.601.922.660.454;2.200.447.539.799.300;442.740.781.280.855;15.161.418.576.069.100;2.975.785.055.055.060;25.275.380.652.752.200;354.563.233.554.834;2.528.757.588.102.240;32.632.457.618.653.100;25.290.274.170.438.000;999
35.914.015.638.884.700;17.552.151.702.171.100;3.141.502.525.004.160;1.839.699.356.046.840;39.901.929.617.304.700;16.531.672.600.711.800;31.116.660.674.036.300;22.220.741.417.140.800;44.096.091.513.008.400;1.545.263.598.383.600;3.113.236.201.619.270;25.058.924.620.549.700;3.563.969.966.171.280;25.252.057.194.457.700;325.807.455.825.203;25.249.051.729.165.900;999
35.982.080.444.528.700;1.755.500.082.132.930;31.524.638.822.293.300;18.325.995.479.527.200;39.771.685.029.281.400;16.592.780.760.428.300;3.096.129.112.786.020;22.378.971.446.644.100;44.117.898.323.336.200;1.537.172.394.121.420;3.098.921.206.023.830;25.343.968.591.024.700;3.576.401.985.011.770;2.527.062.976.990.390;3.259.928.354.079.500;25.334.042.377.754.100;999
3.583.347.408.541.750;17.753.118.869.870.200;315.992.790.812.753;1.844.452.588.200.310;4.002.182.204.501.130;1.673.395.565.750.730;3.095.108.321.492.700;2.255.010.731.477.310;4.409.637.393.318.640;1.567.677.658.758.500;3.065.650.284.874.110;2.575.029.211.064.470;35.848.711.396.468.900;25.340.763.277.533.600;3.272.308.115.785.900;25.428.488.507.583.300;999
3.596.401.182.057.160;17.900.870.345.359.600;31.473.214.437.234.600;184.407.791.879.666;3.979.378.949.447.070;16.809.222.941.166.700;31.061.764.805.991.100;22.329.644.217.299.600;44.252.083.101.920.400;15.620.607.787.408.400;30.704.115.284.562.600;25.586.624.032.599.200;3.573.263.266.564.920;2.521.890.479.767.290;32.636.811.339.271.300;25.244.136.189.305.500;999
3.578.285.166.663.580;17.810.018.646.288.600;31.484.041.693.086.300;18.445.028.986.537.600;3.989.163.559.948.280;1.660.766.214.447.340;309.705.056.044.351;22.403.109.141.182.400;4.396.403.534.755.130;15.300.037.763.083.400;3.069.540.023.201.070;2.575.214.890.849.010;35.729.514.195.832.400;25.199.838.166.509.000;32.622.469.909.571.500;25.329.477.999.729.500;999
35.792.351.166.783.900;17.527.817.207.965.400;3.140.133.189.703.050;18.309.958.605.131.100;40.027.760.293.246.400;1.657.284.249.110.150;3.089.693.505.165.130;22.551.634.000.169.200;44.067.058.641.575.300;153.202.773.773.645;30.633.772.670.751.800;25.468.672.415.670.800;35.570.503.060.098.300;25.142.360.179.167.200;3.245.101.431.534.750;2.525.725.765.107.290;999
35.977.258.956.451.100;1.749.102.554.159.990;31.209.467.931.569.600;1.820.620.337.197.940;4.001.686.161.276.280;16.358.721.936.731.900;3.105.471.401.606.310;2.232.804.673.821.930;44.138.824.607.523.600;15.143.494.128.172.700;30.451.140.272.673.800;255.748.624.579.851;3.568.251.136.430.250;25.077.855.954.966.600;3.231.732.302.480.390;25.175.411.296.949.300;999
3.590.332.149.367.000;17.458.517.739.939.100;315.001.983.401.523;18.239.792.773.385.800;3.993.934.243.248.910;1.656.237.915.555.210;3.106.527.953.426.600;22.199.675.650.727.600;44.145.944.700.798.500;15.352.206.151.530.800;30.755.507.469.177.200;25.464.223.252.794.400;35.730.166.189.666.700;25.166.152.663.765.100;32.487.356.695.142.000;25.222.431.561.911.500;999
3.571.625.964.750.790;17.767.888.704.263.600;3.154.469.470.465.540;18.383.681.347.707.800;399.398.931.952.261;18.081.990.312.572.200;30.916.867.067.840.200;22.260.033.508.687.800;4.447.246.957.691.540;1.700.043.005.267.860;30.668.976.661.718.200;25.670.044.880.840.700;3.555.428.993.984.420;2.545.728.012.472.070;32.594.157.166.202.200;25.418.081.110.174.000;999
3.589.202.835.058.900;18.140.083.183.949.800;3.160.090.678.186.400;183.790.098.839.532;3.764.795.370.237.520;21.942.054.893.703.300;31.116.910.551.773.200;22.053.247.516.301.400;3.984.676.068.202.010;25.186.509.694.911.900;30.920.211.912.519.700;25.874.824.491.666.100;35.599.588.156.123.100;25.370.073.314.448.900;32.569.593.794.161.200;25.489.665.864.133.900;999
36.069.117.396.928.600;1.833.517.688.323.780;3.146.696.869.908.910;18.349.786.633.416.900;36.584.727.981.832.500;22.557.408.790.507.700;3.119.438.694.476.320;22.175.836.591.337.400;3.727.841.133.491.310;2.579.297.286.309.850;30.718.876.192.355.000;2.574.574.016.869.440;3.573.632.677.509.130;25.363.853.051.344.800;3.230.264.051.416.280;2.539.161.656.321.220;999
36.008.497.675.071.500;18.220.231.844.557.200;3.141.243.007.473.090;18.373.400.682.122.700;36.723.075.035.059.000;22.181.449.446.567.200;309.742.278.329.569;22.321.874.767.730.900;37.206.793.617.863.200;25.649.709.431.363.900;3.073.864.874.304.940;2.556.805.382.823.330;35.642.167.656.342.500;25.364.142.081.198.100;32.321.940.761.041.800;25.449.523.958.040.800;999
3.590.916.187.352.660;1.845.310.314.412.340;31.307.044.054.847.900;18.364.734.068.985.400;3.647.862.511.223.520;22.155.143.520.040.600;31.079.795.704.822.000;22.521.510.585.922.000;3.722.541.613.827.380;2.568.764.158.736.820;3.058.743.983.987.380;259.588.113.506.551;35.603.505.307.840.800;25.410.181.202.797.700;32.258.525.685.676.400;25.546.151.191.437.200;999
35.866.026.192.856.400;18.194.603.127.606.500;31.437.330.393.617.900;18.299.295.469.771.900;3.664.146.006.314.480;22.142.070.738.004.000;3.090.799.523.906.490;2.260.362.027.513.040;3.707.557.034.605.480;2.566.949.909.686.030;3.050.038.855.674.700;2.593.029.862.579.280;35.336.547.803.351.400;25.378.725.144.626.200;32.261.888.446.777.700;2.539.170.279.311.320;999
3.585.228.188.079.300;1.824.296.353.684.920;31.460.686.802.675.700;18.373.233.448.375.300;36.648.380.032.459.500;22.287.227.622.550.300;3.088.862.067.489.260;22.601.938.308.167.400;3.686.461.659.893.980;2.557.375.451.021.410;3.045.751.398.698.220;2.559.886.340.409.450;35.460.746.825.400.400;25.541.828.615.216.800;3.220.885.829.111.970;2.531.449.490.117.720;999
3.593.942.713.925.810;18.172.288.479.311.000;31.458.282.036.803.900;18.306.119.729.298.100;36.452.847.208.080.300;21.995.656.219.143.600;30.946.066.399.886.100;22.079.475.378.637.300;3.725.096.904.158.020;25.440.515.885.141.300;30.543.321.015.898.800;25.632.707.333.715.900;3.530.213.065.245.320;25.356.708.925.823.800;3.238.333.469.167.890;25.363.836.889.287.100;999
36.035.450.867.567.000;18.157.263.185.206.700;31.491.134.378.394.000;18.178.320.096.360.700;3.687.621.674.982.100;2.205.750.151.265.240;3.108.691.362.860.070;22.082.630.137.308.400;3.738.260.683.177.200;2.539.705.301.490.440;30.645.930.466.493.700;2.573.011.087.816.810;3.579.888.559.254.040;2.521.124.601.464.940;3.251.960.263.847.360;2.533.182.730.483.200;999
36.186.811.401.945.700;18.644.013.338.310.700;3.151.366.435.408.020;1.884.366.357.654.140;3.692.442.008.405.680;22.096.972.596.569.700;31.282.922.343.996.800;225.076.913.006.966;37.662.583.289.364.800;25.562.733.583.672.100;30.814.565.227.683.300;2.611.153.045.718.810;3.587.795.466.081.030;2.561.722.969.555.190;32.565.548.358.935.300;25.547.508.223.616.200;999
36.091.596.413.562.600;18.520.733.710.323.200;31.576.532.589.880.700;18.765.027.132.901.200;3.690.140.710.622.770;22.270.378.507.973.000;3.100.587.682.739.060;22.361.866.134.417.700;37.564.095.109.936.500;25.603.939.741.912.900;30.405.735.275.003.300;25.850.426.462.185.500;3.572.208.543.147.700;2.568.106.348.469.190;32.536.254.918.970.700;25.682.894.103.874.800;999
36.242.456.854.990.400;18.482.458.437.219.900;32.140.805.598.495.500;18.357.996.015.165.600;3.697.107.892.993.120;2.207.140.429.377.800;28.924.678.916.991.400;20.330.739.806.620.800;3.774.061.582.062.100;25.360.143.992.159.800;2.519.669.789.198.260;21.878.516.122.604.200;3.582.835.342.383.120;2.555.248.521.800.770;3.307.610.568.126.410;25.542.885.705.734.100;999
3.586.459.126.404.670;1.822.712.622.031.600;3.141.925.810.562.300;17.986.688.996.974.300;36.608.924.709.036.800;2.237.685.421.707.760;2.835.352.218.169.920;16.891.562.334.830.800;3.678.993.188.939.380;2.615.964.838.717.500;24.076.134.173.979.300;15.785.802.974.257.300;35.382.528.199.592.000;2.557.419.720.058.960;32.460.180.490.502.800;25.511.181.918.057.500;999
3.548.614.429.636.580;18.061.079.525.292.200;3.111.581.657.132.450;17.266.065.375.749.400;3.621.102.530.432.720;21.760.727.831.979.600;2.800.997.052.185.150;1.644.996.943.080.650;369.688.958.865.583;25.073.340.837.345.500;23.979.109.584.814.300;161.013.692.811.478;35.011.578.214.865.300;25.114.953.345.526.500;32.227.068.040.796.500;25.236.474.841.644.000;999
35.684.420.683.560.900;17.639.481.784.425.300;3.146.280.432.726.720;1.693.687.463.562.780;36.364.557.525.369.600;21.605.470.556.537.300;2.812.740.182.499.930;1.614.361.210.958.140;3.708.583.239.996.790;24.705.565.180.385.300;24.008.600.075.286.300;15.996.052.522.235.800;35.119.104.514.943.100;24.782.349.955.455.900;3.236.017.192.822.490;2.469.890.302.533.070;999
3.552.775.725.595.190;17.639.301.195.205.100;3.140.709.089.667.870;17.046.721.295.120.800;3.641.600.137.864.240;21.330.909.712.874.100;2.796.698.224.638.680;16.086.450.492.100.700;37.044.743.204.945.400;24.758.303.063.616.400;23.701.721.046.773.100;16.065.574.339.529.900;3.514.121.346.375.760;245.534.259.602.585;32.343.644.562.490.700;24.642.363.695.463.200;999
3.533.801.867.347.940;1.747.469.736.304.890;3.102.980.771.900.910;1.682.247.277.999.780;3.612.146.075.641.930;2.129.463.073.214.310;2.794.970.428.322.160;1.621.998.044.552.300;3.674.480.796.199.270;24.952.148.534.278.700;2.341.752.877.619.590;15.781.764.564.756.100;34.909.188.944.016.500;24.601.721.152.694.700;3.227.317.619.625.040;2.496.698.559.363.850;999
3.516.412.322.178.450;17.982.503.749.855.400;31.029.612.319.729.300;17.169.017.868.364.500;3.583.034.979.411.960;21.785.906.188.835.800;2.782.166.110.697.130;1.661.387.553.628.350;36.467.977.466.553.100;25.473.461.320.485.900;23.768.090.993.872.100;16.284.589.205.937.400;34.837.193.879.282.600;2.499.561.416.271.120;3.186.137.558.875.300;24.889.229.159.526.500;999
3.510.478.215.270.320;18.016.131.669.219.900;30.946.465.322.003.300;1.728.312.275.828.060;35.840.443.254.082.100;21.778.039.960.478.100;2.768.049.479.359.510;16.802.288.547.378.700;3.626.345.897.511.840;2.578.198.890.605.380;2.377.886.008.312.350;16.385.071.897.607.500;3.465.572.199.286.630;2.528.124.760.069.250;3.170.115.926.781.720;25.093.451.409.208.800;999
35.958.317.881.700.100;17.307.802.099.506.100;3.164.396.443.299.200;16.917.415.893.103.000;3.699.882.615.799.020;21.590.785.633.433.900;28.146.541.372.482.900;16.252.397.468.679.800;3.705.766.477.178.050;2.553.284.797.910.400;2.391.288.750.092.560;15.741.512.911.516.300;3.547.544.111.158.420;24.891.520.252.187.400;32.529.769.921.566.400;24.794.133.547.244.500;999
3.688.339.030.912.130;175.326.674.221.434;32.616.435.022.339.000;16.868.505.683.560.100;3.759.704.758.582.330;21.408.526.398.414.700;29.222.599.083.778.400;16.297.833.368.087.600;379.367.637.453.486;24.866.944.633.629.000;24.841.725.522.684.600;15.873.796.039.605.400;36.388.779.433.794.300;24.890.127.363.467.000;338.357.008.320.837;2.510.832.966.004.060;999
36.722.818.142.618.200;1.724.112.625.605.960;3.266.279.527.323.690;16.438.785.407.810.300;3.787.103.165.420.120;21.195.638.709.038.000;29.617.734.309.433.000;1.600.022.543.005.910;3.833.403.721.428.210;24.626.024.266.378.000;26.124.516.829.118.500;15.666.934.087.967.000;36.336.185.208.240.700;24.532.179.519.943.600;33.479.704.725.798.800;2.445.164.028.433.860;999
369.164.536.703.631;1.678.952.136.856.300;3.248.202.051.822.600;16.165.509.350.960.100;3.786.635.976.493.070;21.064.133.561.438.700;28.752.092.237.909.400;1.542.205.694.412.320;3.806.359.082.262.660;2.486.728.118.186.770;24.963.995.163.662.900;1.527.003.604.816.330;36.378.240.359.337.900;24.444.709.858.481.000;33.239.196.005.967.300;2.431.963.866.155.190;999
3.690.131.106.986.810;1.626.163.010.617.390;32.304.349.829.988.600;154.284.141.008.244;3.779.535.413.504.020;20.563.896.001.771.400;2.915.481.032.240.440;15.080.818.224.658.900;3.791.529.665.400.060;24.046.502.595.220.000;24.700.500.295.437.100;1.446.918.566.584.830;36.516.018.691.221.100;2.381.260.152.094.960;33.342.895.122.124.300;2.365.900.656.637.630;999
3.762.522.090.291.140;15.800.233.272.366.900;3.284.636.091.621.000;15.503.221.467.483.800;38.513.030.041.638.800;2.031.289.150.246.100;293.299.667.575.348;15.187.356.186.719.500;389.641.525.003.394;24.092.229.798.782.700;24.795.520.173.806.500;1.407.697.498.571.540;3.723.914.972.338.440;2.387.286.035.001.400;3.367.454.733.705.440;24.085.512.286.260.800;999
3.811.858.648.749.130;1.526.962.679.485.940;3.346.147.669.209.120;15.120.660.987.515.200;4.039.296.333.108.090;18.484.605.656.113.700;29.989.995.055.477.300;17.035.986.439.118.100;40.789.856.631.985.500;20.073.516.692.470.000;29.524.797.605.300.500;1.519.145.418.776.010;3.752.722.336.707.330;23.538.777.938.100.800;3.402.263.232.768.990;2.353.556.935.681.340;999
37.754.373.077.344.300;14.872.420.200.081.700;33.370.322.180.773.500;1.485.732.413.648.800;4.203.683.418.647.560;16.456.434.544.246.700;2.944.947.272.567.380;1.659.493.099.156.190;3.856.106.919.323.280;14.300.386.521.579.300;3.294.478.391.433.400;1.558.535.252.061.000;37.396.867.363.373.800;2.326.230.353.583.240;3.377.894.705.581.060;2.336.367.371.621.640;2
3.729.793.869.789.930;15.080.269.101.810.200;327.197.156.668.086;14.730.252.933.300.500;41.333.411.242.347.900;16.489.796.273.552.000;2.874.688.537.501.230;17.142.347.630.184.200;3.773.046.875;15.903.312.699.235.200;3.276.769.749.549.510;1.550.144.269.753.710;37.074.163.596.588.600;23.536.221.745.654.300;3.379.265.906.648.800;23.531.409.104.329.000;2
36.760.551.368.267.400;14.583.504.170.746.400;3.193.092.382.349.670;14.417.402.505.370.500;4.144.973.055.822.960;1.534.916.403.127.270;27.529.085.710.715.300;15.381.093.192.554.100;37.892.720.733.208.600;14.588.916.125.307.600;31.817.749.601.969.700;14.378.832.093.252.900;3.628.980.752.905.770;2.332.613.892.182.230;3.305.132.574.530.380;2.352.030.319.391.290;2
3.662.180.047.539.920;14.746.270.754.372.500;3.162.716.939.965.310;14.469.529.617.664.400;411.188.351.599.526;15.393.995.740.700.900;2.705.766.616.990.020;15.343.573.217.412.100;372.739.582.754.801;14.332.018.378.421.000;3.215.391.677.928.760;14.236.728.289.162.600;3.591.268.597.884.570;23.694.720.068.643.200;32.635.860.087.558.900;2.370.581.071.220.540;2
36.429.124.238.555.000;1.473.711.850.527.220;31.356.856.263.267.600;14.309.028.069.010.200;4.076.678.495.723.480;15.358.882.654.040.800;2.710.486.100.183.270;15.400.620.829.479.300;375.476.072.290.309;14.651.872.418.143.500;32.122.344.536.803.900;1.421.513.546.546.460;3.591.793.107.308.480;23.665.296.437.624.300;32.374.378.463.479.900;23.684.894.747.260.200;2
36.257.717.765.338.000;14.945.294.724.962.400;31.363.437.550.139.400;1.489.894.920.171.690;4.064.762.157.663.160;15.806.313.448.174.000;269.686.497.210.703;1.587.894.321.949.730;36.339.448.805.292.200;1.466.713.312.967.630;3.199.075.669.323.280;1.502.100.056.170.400;3.588.900.614.613.410;2.391.404.236.194.690;3.259.857.030.690.750;23.865.510.436.495.500;2
35.671.777.547.441.500;15.730.016.293.031.700;30.913.820.577.082.000;15.293.048.193.288.400;4.030.597.010.607.960;16.248.330.920.745.600;2.652.064.646.740.470;16.376.842.506.844.100;3.599.488.249.623.560;155.526.114.336.784;31.311.032.649.276.700;1.522.374.071.681.720;35.343.788.134.919.800;24.452.637.480.882.900;3.200.436.208.523.090;24.486.044.079.254.300;2
3.514.566.408.853.390;15.589.586.374.875.600;3.034.328.514.930.760;15.251.538.113.358.100;39.611.338.538.581.100;16.333.361.732.531.200;26.065.021.243.705.500;1.614.852.847.206.160;3.519.729.320.170.560;15.376.495.038.732.100;30.283.658.429.909.600;15.203.004.542.667.300;34.634.883.597.375.400;24.008.980.974.838.500;3.128.863.997.858.650;24.161.946.564.849.700;2
3.533.978.411.296.340;14.658.966.082.599.100;30.669.988.791.901.100;1.445.370.803.978.170;39.692.580.092.009.700;15.662.256.769.095.600;2.631.392.203.236.070;15.537.015.918.949.400;35.522.606.631.214.200;14.138.869.594.065.800;31.076.810.767.488.600;14.582.132.685.260.000;3.512.466.030.512.560;23.153.920.534.549.200;3.151.851.809.533.280;2.317.869.660.617.430;2
