leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y
329.7949999199539,145.3268829345703,258.8345176821849,148.40329284667968,392.2750244140625,141.56117553710936,203.45569047771517,177.01822357177736,434.02404384925717,124.50179646809896,152.33197621830175,170.0386962890625,326.33035428406765,264.48093872070314,278.3467277151639,269.3438362121582
332.0120101678567,146.95174560546874,267.40526205594426,149.12066548665365,391.5677710361168,112.72238159179688,217.70232053662912,129.9575968424479,404.9693554737529,73.82772216796874,174.98641817686988,69.324645169576,322.3053318711578,262.801123046875,277.4830412317495,265.52513326009114
330.9854766345415,144.44320678710938,269.19699328062967,141.8386672973633,370.02161888998063,93.69478759765624,227.84368045994495,94.1808837890625,384.15464507556356,55.365867106119794,225.223900966957,56.33933614095052,320.70772064709274,267.6668212890625,278.19453104988474,268.92994893391926
333.43104728323516,139.83740412394206,275.1056383476883,141.2904286702474,355.0463757124104,87.60089925130208,233.73634338378906,97.19349772135416,353.75083848296623,51.4184326171875,245.11910860655738,44.77237141927083,323.6485305535989,255.48383178710938,284.71504486584274,261.7088948567708
330.5028316310195,140.8071075439453,268.9244985111424,137.13363552093506,353.22039194576075,102.16893310546875,239.92228073370262,99.443017578125,357.949987192623,57.078958129882814,253.03846215420083,41.712502034505206,323.26341472688273,258.5298136393229,285.0404172803535,259.3952311197917
331.44867843878075,135.71859334309895,274.71247588611044,134.46490402221679,350.040777487833,91.62956339518229,239.91124287589653,97.54407552083333,350.12651687371925,57.441192626953125,256.84325371413934,39.16622517903646,325.640652015561,253.8825948079427,276.9908507300205,255.65584513346354
328.91020277679945,138.96628850301107,272.24316206134733,138.90153528849282,351.29894018954917,91.3197265625,241.20435120629483,99.709326171875,345.509313364498,52.10524291992187,249.7132348232582,39.24537963867188,328.46676385598107,257.4139465332031,282.559564309042,260.9500732421875
327.8914489746094,139.5625872294108,271.22202163446144,139.00551249186196,346.88884597528175,94.7443115234375,234.96329945423565,100.43590087890625,350.41879922835557,47.75097859700521,245.99359130859375,46.74104614257813,325.31523257396265,255.26648966471353,279.3597742299565,258.447504679362
330.5301223504739,139.10050252278646,269.1634921714908,138.50311177571615,344.38903408363217,96.53992106119792,237.0605191090068,100.43570556640626,346.38719502433406,49.293375651041664,246.06572085521262,42.97094930013021,324.4854135982326,254.32000528971355,281.1515162733735,258.1239054361979
331.59327872854766,141.56150716145834,272.2264241703221,138.7900655110677,351.3886338530994,99.414501953125,236.4565122010278,89.38308512369791,346.59941726434425,51.655845133463544,245.79004406538166,38.24781901041666,326.3017097848361,258.6948567708333,279.60830238217216,264.47613728841145
324.00878405961834,138.0519962310791,271.63473035468434,139.84001541137695,350.5313100345799,94.40076497395833,232.90911790191151,89.00946044921875,350.97631035476434,55.14453328450521,242.72412159403817,40.58717346191406,325.3304063140369,255.11454467773436,280.50561023149334,259.1355377197266
323.5467049020236,135.35601552327475,266.27384173283815,135.8951742808024,364.2971871798156,88.60721537272136,236.69188202404587,91.94040120442708,343.92381011462606,50.02064615885416,247.1868266121286,40.02844034830729,321.71922227202873,256.87225748697915,281.79641273373466,259.2074503580729
328.2686297307249,133.8609171549479,272.62274520123594,139.5772272745768,350.01603523629615,84.4359151204427,234.7813822949519,91.88780110677084,351.3704173603996,43.73530883789063,247.11046562820187,40.347662353515624,326.6160288326076,256.632167561849,278.5211431784708,259.05198974609374
327.5573260197874,136.58777112960814,264.75637967469265,135.380037689209,350.64595607069674,86.992626953125,234.4435588649062,94.63557942708333,347.70649694223874,53.524471028645834,244.62764052094008,40.80450642903646,326.0446156986424,255.90811767578126,279.67336585873466,256.7709676106771
325.16501504866807,139.97104415893554,265.1666680007685,137.99269485473633,348.2440905961834,98.10043131510416,235.10654721494583,97.10146484375,350.0205938620646,55.229854329427084,246.35568887679304,42.31509195963542,322.18375384221315,257.2422770182292,283.58832087282275,260.6138142903646
331.3559865482518,138.52493476867676,272.9134951732198,142.18002014160157,353.83671995069164,97.8824452718099,232.5679949150711,90.32322591145834,359.766863713499,58.59484761555989,244.64987532818904,41.86220092773438,323.17258640977207,257.5678202311198,278.10360667744624,260.8282531738281
