leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,ms_since_last_frame,ms_since_start,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
296.0443862,183.4315496,248.4872526,251.7076024,264.5639868,152.4489118,349.3463799,200.9319912,125,37141,184.1900586,201.1647636,208.4490562,248.8513697,201.5838542,150.6860916,178.8443859,244.5415964
290.0546495,198.99937,248.5408214,249.606894,266.9998096,151.7468311,308.2831782,219.5306461,130,37271,185.399794,201.8314632,211.6906803,246.8012246,204.1832837,148.6442164,179.0873738,245.2485953
278.0504857,204.8650181,249.8378881,249.0379556,265.6859348,150.4689211,288.5556146,243.7211153,132,37403,186.0419559,200.7762994,208.6627371,249.3813566,201.48762,144.7730687,179.6918275,244.7840613
270.7587058,202.0073642,249.0715262,248.0845756,263.5974898,150.2631025,279.0200441,253.1432649,132,37535,186.9638325,197.9659738,207.9052925,246.7909803,202.7769037,145.2036932,181.6035413,246.3506021
274.116714,203.4095247,244.6701698,248.7884532,265.3422631,151.2145024,269.264781,253.5410681,125,37660,187.382239,198.0526003,206.9172656,243.8815688,203.204561,146.2423019,181.2282884,244.0805546
274.5147762,203.9172299,247.3039816,247.8817708,263.3756149,151.4014199,270.2646844,252.9697448,125,37785,188.2306586,197.8211364,209.0661573,243.7204523,204.6987227,145.0497632,182.2572278,244.6460841
274.4649443,201.2930686,247.3427784,247.4033076,263.560434,148.5593984,271.5671863,249.113371,126,37911,188.1305189,196.9008474,209.858787,242.995625,204.2450664,146.511142,182.5631435,245.8153658
275.1047579,201.9112062,247.8414921,248.062304,263.8886429,148.2954813,271.3544296,249.7012063,126,38037,187.6232202,197.7706782,207.9984565,243.4288617,204.0053601,146.9716174,181.6012407,245.7952143
274.2750165,202.3191202,247.0063587,246.6225534,263.2128639,148.2135388,271.0891739,249.918631,126,38163,187.7859181,199.1463655,207.3239755,246.0024221,202.2011609,146.1975698,177.4451768,241.677624
274.4083338,203.5279798,247.8148479,247.0263914,263.874398,148.4625891,269.5003797,250.1618534,126,38289,187.1148091,196.7008258,208.9180944,242.8838378,205.937572,148.3759223,181.3555726,244.2502754
274.5716433,202.2576074,247.569095,245.771833,264.0921215,148.2490578,270.4061559,250.2456518,128,38417,187.7833397,196.4133486,209.185536,241.9653456,206.4814908,147.4933594,181.7132645,245.1416521
